"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"GO:0006810",0.000255829630642109,0.999950519384464,9,448,"transport","BP"
"GO:0034641",0.000311656580059044,0.999864262308799,28,2677,"cellular nitrogen compound metabolic process","BP"
"GO:0042592",0.00154737586626239,0.999744999016968,6,251,"homeostatic process","BP"
"GO:0008150",0.00270274453883493,0.999150205615894,11,894,"biological_process","BP"
"GO:0044281",0.0399478126205261,0.982398051296054,10,1051,"small molecule metabolic process","BP"
"GO:0032991",3.88844037756074e-05,0.999983389655771,35,3519,"protein-containing complex","CC"
"GO:0005576",0.000168719609449812,0.999965642000448,10,405,"extracellular region","CC"
"GO:0005622",0.00822194065585385,0.996848113408008,12,1052,"intracellular anatomical structure","CC"
"GO:0031410",0.0163651797438719,0.997950732185172,3,132,"cytoplasmic vesicle","CC"
"GO:0005634",0.0379862035380599,0.98199121885958,12,1230,"nucleus","CC"
"GO:0008233",6.08504608237108e-09,0.999999998961879,23,1210,"peptidase activity","MF"
"GO:0003700",3.9341956701806e-06,0.999999183238541,15,712,"DNA-binding transcription factor activity","MF"
"GO:0043167",0.00165221630417165,0.998980715725247,64,9871,"ion binding","MF"
"GO:0008289",0.0470309943099643,0.985824073362232,5,426,"lipid binding","MF"
"GO:0008092",0.0485636867649755,0.983224988941108,6,685,"cytoskeletal protein binding","MF"
