"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"GO:0034641",0.00128090641482979,0.999577960509999,14,2677,"cellular nitrogen compound metabolic process","BP"
"GO:0051276",0.00426332290042658,0.999477876893884,4,361,"chromosome organization","BP"
"GO:0009058",0.00432313854904769,0.998370366467704,14,3011,"biosynthetic process","BP"
"GO:0044281",0.00599641554764485,0.998517052872832,7,1051,"small molecule metabolic process","BP"
"GO:0008283",0.0128001038355633,0.999308405812736,2,86,"cell population proliferation","BP"
"GO:0042592",0.0138002323897414,0.998381630880725,3,251,"homeostatic process","BP"
"GO:0009056",0.0150154031495235,0.996662577404695,5,739,"catabolic process","BP"
"GO:0032991",0.0366930325155302,0.982995138899265,12,3519,"protein-containing complex","CC"
"GO:0016301",0.00147775542339294,0.999639922950861,9,1507,"kinase activity","MF"
"GO:0003700",0.017109742039429,0.996071446830577,5,712,"DNA-binding transcription factor activity","MF"
"GO:0008233",0.0262598720237698,0.992225453089124,6,1210,"peptidase activity","MF"
"GO:0016853",0.0296698038224368,0.997488221670032,2,121,"isomerase activity","MF"
"GO:0008289",0.0444646485917138,0.991846152675098,3,426,"lipid binding","MF"
