"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"GO:0007568",4.80947730620449e-06,0.999999987152527,3,4,"aging","BP"
"GO:0008150",0.000105142613958289,0.999972351585145,14,894,"biological_process","BP"
"GO:0006810",0.000326621724585479,0.999934630843189,9,448,"transport","BP"
"GO:0005975",0.000630840951350971,0.999847574358754,10,564,"carbohydrate metabolic process","BP"
"GO:0006091",0.00156259328601055,0.999742343397238,6,216,"generation of precursor metabolites and energy","BP"
"GO:0044281",0.0217362619129439,0.990881096719013,11,1051,"small molecule metabolic process","BP"
"GO:0071554",0.0222712101806308,0.998424533175325,2,32,"cell wall organization or biogenesis","BP"
"GO:0009056",0.0261045524486536,0.990527650826996,8,739,"catabolic process","BP"
"GO:0034641",0.0322789645798211,0.981413543370024,22,2677,"cellular nitrogen compound metabolic process","BP"
"GO:0005576",3.84109583171136e-06,0.999999315675413,13,405,"extracellular region","CC"
"GO:0005694",0.00120738142723136,0.999740592443853,8,311,"chromosome","CC"
"GO:0032991",0.00172742683131975,0.999123039882636,31,3519,"protein-containing complex","CC"
"GO:0005856",0.0256738703938261,0.990703904237252,8,959,"cytoskeleton","CC"
"GO:0005764",0.0365488534546176,0.999392440577485,1,10,"lysosome","CC"
"GO:0005618",0.0386846764243529,0.999431218537124,1,4,"cell wall","CC"
"GO:0008233",1.18948251710154e-07,0.999999973736274,21,1210,"peptidase activity","MF"
"GO:0030234",0.00748643865824271,0.997460283066241,10,669,"enzyme regulator activity","MF"
"GO:0008289",0.01587724779621,0.995754752119572,6,426,"lipid binding","MF"
"GO:0016887",0.0174567194322592,0.99592871864149,5,437,"ATPase activity","MF"
"GO:0016491",0.0186130087947034,0.991442630995395,14,1327,"oxidoreductase activity","MF"
