"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"GO:0006457",4.50361234651153e-13,1,11,80,"protein folding","BP"
"GO:0042592",0.000323059318538336,0.999960681532665,6,251,"homeostatic process","BP"
"GO:0034641",0.0178882146758465,0.990982657346418,18,2677,"cellular nitrogen compound metabolic process","BP"
"GO:0007049",0.0487377351322256,0.990693968130269,3,253,"cell cycle","BP"
"GO:0005634",0.000966672543470163,0.999684186254435,14,1230,"nucleus","CC"
"GO:0005654",0.00526656060783822,0.999088211455975,5,247,"nucleoplasm","CC"
"GO:0005615",0.00726283085174023,0.999709918695798,2,48,"extracellular space","CC"
"GO:0032991",0.0158806661831936,0.991649654691971,21,3519,"protein-containing complex","CC"
"GO:0000228",0.0165046932028782,0.997926586894511,3,149,"nuclear chromosome","CC"
"GO:0005694",0.0203641242896951,0.99508633052,5,311,"chromosome","CC"
"GO:0005622",0.0229474351293983,0.991302409604108,9,1052,"intracellular anatomical structure","CC"
"GO:0051082",1.30165934875277e-12,1,9,53,"unfolded protein binding","MF"
"GO:0030234",2.0937079731941e-06,0.999999618236983,14,669,"enzyme regulator activity","MF"
"GO:0043167",0.00214457851227509,0.998758601082291,48,9871,"ion binding","MF"
"GO:0004386",0.0199788106497165,0.998621620092446,2,119,"helicase activity","MF"
"GO:0003677",0.0202582558028672,0.990921486979888,13,1680,"DNA binding","MF"
