"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","moduleColor","Day"
"12","GO:0006810",4.5740434368119e-09,0.999999999315807,20,448,"transport","BP","blue","Day2"
"19","GO:0009056",4.21451706886348e-06,0.999998814893773,21,739,"catabolic process","BP","blue","Day2"
"8","GO:0006091",1.10887141133766e-05,0.999997997548124,12,216,"generation of precursor metabolites and energy","BP","blue","Day2"
"13","GO:0007568",7.43023369190699e-05,0.99999949602952,3,4,"aging","BP","blue","Day2"
"28","GO:0042592",0.000195608457065304,0.999959391967977,10,251,"homeostatic process","BP","blue","Day2"
"15","GO:0008150",0.000355833975807773,0.999870438217918,19,894,"biological_process","BP","blue","Day2"
"10","GO:0006629",0.00392718998120873,0.998434672321183,15,708,"lipid metabolic process","BP","blue","Day2"
"9","GO:0006412",0.00567454662020455,0.997934473984281,12,276,"translation","BP","blue","Day2"
"30","GO:0044281",0.00602277822871637,0.997129661605922,20,1051,"small molecule metabolic process","BP","blue","Day2"
"7","GO:0005975",0.00985907665041522,0.996114481088352,12,564,"carbohydrate metabolic process","BP","blue","Day2"
"31","GO:0071554",0.0149755392326172,0.998261642090762,3,32,"cell wall organization or biogenesis","BP","blue","Day2"
"11","GO:0006790",0.0163216131397447,0.99507203556677,7,206,"sulfur compound metabolic process","BP","blue","Day2"
"26","GO:0034641",0.0342189731079986,0.977022769245974,39,2677,"cellular nitrogen compound metabolic process","BP","blue","Day2"
"27","GO:0042254",0.0493751899093017,0.97754372385941,10,252,"ribosome biogenesis","BP","blue","Day2"
"3","GO:0005576",2.54617115448638e-06,0.999999339525535,20,405,"extracellular region","CC","blue","Day2"
"25","GO:0032991",8.50926264949732e-05,0.999953898083958,57,3519,"protein-containing complex","CC","blue","Day2"
"4","GO:0005622",0.00114811301016786,0.999493812171757,23,1052,"intracellular anatomical structure","CC","blue","Day2"
"5","GO:0005737",0.00154902438669278,0.999418518717222,16,691,"cytoplasm","CC","blue","Day2"
"6","GO:0005856",0.00220473962615129,0.999239150571592,13,959,"cytoskeleton","CC","blue","Day2"
"16","GO:0008233",4.10742401573043e-13,1,38,1210,"peptidase activity","MF","blue","Day2"
"24","GO:0030234",5.46723925117754e-06,0.999998285259432,24,669,"enzyme regulator activity","MF","blue","Day2"
"20","GO:0016491",0.000103004448927849,0.999954826816875,32,1338,"oxidoreductase activity","MF","blue","Day2"
"29","GO:0043167",0.000239605684782123,0.999840962824283,113,9871,"ion binding","MF","blue","Day2"
"17","GO:0008289",0.000387263850048997,0.999896815553509,12,426,"lipid binding","MF","blue","Day2"
"14","GO:0008092",0.00191513891004668,0.999420216399733,11,685,"cytoskeletal protein binding","MF","blue","Day2"
"22","GO:0016853",0.0047183135032674,0.999035865730947,6,121,"isomerase activity","MF","blue","Day2"
"2","GO:0003735",0.0137326045687284,0.994952400020465,10,176,"structural constituent of ribosome","MF","blue","Day2"
"21","GO:0016765",0.0155883220582294,0.997282121083066,4,57,"transferase activity, transferring alkyl or aryl (other than methyl) groups","MF","blue","Day2"
"23","GO:0016887",0.0170108298186661,0.995362931248766,6,437,"ATPase activity","MF","blue","Day2"
"1","GO:0003700",0.0321036634471579,0.984573103629374,13,712,"DNA-binding transcription factor activity","MF","blue","Day2"
"18","GO:0008565",0.0140019126337269,0.999272184521299,2,14,NA,NA,"blue","Day2"
