"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"GO:0006457",3.4000797669081e-24,1,21,80,"protein folding","BP"
"GO:0034641",2.40329111955605e-08,1,49,2677,"cellular nitrogen compound metabolic process","BP"
"GO:0051276",2.18051229816086e-07,0.999999967582098,14,361,"chromosome organization","BP"
"GO:0009056",3.38764574391161e-07,0.999999922833709,20,739,"catabolic process","BP"
"GO:0065003",2.59676451080266e-06,0.999999552891075,13,332,"protein-containing complex assembly","BP"
"GO:0042254",2.93441977412561e-05,0.999993673498601,13,252,"ribosome biogenesis","BP"
"GO:0006399",0.000121012127145899,0.999981702906615,8,185,"tRNA metabolic process","BP"
"GO:0006605",0.000183512876342767,0.999985713450749,5,47,"protein targeting","BP"
"GO:0006412",0.000384144159735845,0.999905682536513,11,276,"translation","BP"
"GO:0042592",0.000574074440212338,0.999889953422867,8,251,"homeostatic process","BP"
"GO:0022618",0.000790035813077535,0.999913178477828,5,75,"ribonucleoprotein complex assembly","BP"
"GO:0009058",0.000821313901261168,0.99955821245472,41,3011,"biosynthetic process","BP"
"GO:0044281",0.0011849353622939,0.999537583821807,18,1051,"small molecule metabolic process","BP"
"GO:0006397",0.00128417389704366,0.999757459376567,7,186,"mRNA processing","BP"
"GO:0007034",0.00363270004234587,0.999753768033158,3,24,"vacuolar transport","BP"
"GO:0006810",0.0042135172840613,0.99877898925095,9,448,"transport","BP"
"GO:0007005",0.0070845994151693,0.998685840823942,5,153,"mitochondrion organization","BP"
"GO:0006790",0.0095865789542962,0.997710429021896,6,206,"sulfur compound metabolic process","BP"
"GO:0016192",0.0117410272000075,0.995731399200399,10,584,"vesicle-mediated transport","BP"
"GO:0051604",0.0230414552772142,0.996759246360702,3,66,"protein maturation","BP"
"GO:0032991",1.55518893011678e-24,1,88,3519,"protein-containing complex","CC"
"GO:0005694",5.52838551171966e-14,1,23,311,"chromosome","CC"
"GO:0005737",2.83141509192178e-12,1,27,691,"cytoplasm","CC"
"GO:0005840",1.64978263242353e-09,1,19,255,"ribosome","CC"
"GO:0005634",7.78269635663734e-09,0.999999998271468,33,1230,"nucleus","CC"
"GO:0005739",2.05939070251487e-05,0.999995373906677,14,350,"mitochondrion","CC"
"GO:0005783",5.30022459659835e-05,0.999991728769903,9,222,"endoplasmic reticulum","CC"
"GO:0005622",9.92530103112919e-05,0.999965351254958,21,1052,"intracellular anatomical structure","CC"
"GO:0031410",0.00594908122834835,0.99919759281955,4,132,"cytoplasmic vesicle","CC"
"GO:0005654",0.00622545463707662,0.998434444534719,7,247,"nucleoplasm","CC"
"GO:0005856",0.0123283500560052,0.995220610995268,11,959,"cytoskeleton","CC"
"GO:0005730",0.0188740639709632,0.997537422585418,3,66,"nucleolus","CC"
"GO:0005794",0.0322651523808642,0.992828066122054,4,155,"Golgi apparatus","CC"
"GO:0051082",7.63353707731035e-23,1,17,53,"unfolded protein binding","MF"
"GO:0008135",9.95205254682895e-10,0.999999999952972,10,66,"translation factor activity, RNA binding","MF"
"GO:0003723",4.10064231909647e-08,0.999999992454132,19,550,"RNA binding","MF"
"GO:0003677",4.54030264725705e-08,0.999999986129397,37,1680,"DNA binding","MF"
"GO:0043167",1.35189517486455e-07,1,106,9871,"ion binding","MF"
"GO:0016887",1.44987247752393e-05,0.999997527738983,11,437,"ATPase activity","MF"
"GO:0005198",4.75254271288041e-05,0.999994796446958,7,179,"structural molecule activity","MF"
"GO:0016874",4.83931913945847e-05,0.999993579260471,8,210,"ligase activity","MF"
"GO:0016853",0.000100720500252981,0.999987687175457,7,121,"isomerase activity","MF"
"GO:0008233",0.000343345350282843,0.999875618713441,19,1210,"peptidase activity","MF"
"GO:0003924",0.00740199203346864,0.997340141064186,11,437,"GTPase activity","MF"
"GO:0016829",0.0224902410455087,0.993512907132323,6,274,"lyase activity","MF"
"GO:0016491",0.0256179841847808,0.986456802648469,18,1327,"oxidoreductase activity","MF"
"GO:0003735",0.0449500592174541,0.98487423587539,6,176,"structural constituent of ribosome","MF"
"GO:0008565",0.00669807518717905,0.999763100301555,2,14,NA,NA
"GO:0051186",0.0237405622829487,0.992250058321167,7,325,NA,NA
