"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"GO:0042254",1.06649651567772e-17,1,19,252,"ribosome biogenesis","BP"
"GO:0006412",8.25870411570245e-17,1,18,276,"translation","BP"
"GO:0006457",0.0301268932694446,0.997437531700803,2,80,"protein folding","BP"
"GO:0005840",4.19885175789588e-16,1,18,255,"ribosome","CC"
"GO:0031012",0.00343062451206651,0.99990667948958,2,56,"extracellular matrix","CC"
"GO:0005764",0.0146431207080063,0.999903593169621,1,10,"lysosome","CC"
"GO:0003735",3.6551129658149e-18,1,18,176,"structural constituent of ribosome","MF"
"GO:0003723",0.00887152969458983,0.99826073097409,5,550,"RNA binding","MF"
"GO:0051082",0.00894844681374118,0.999601955987759,2,53,"unfolded protein binding","MF"
"GO:0008233",0.0260591728859999,0.992260197085956,6,1210,"peptidase activity","MF"
"GO:0005198",0.0285299687991482,0.99761960933894,2,179,"structural molecule activity","MF"
