"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"GO:0006412",1.53376165016586e-12,1,23,276,"translation","BP"
"GO:0042254",6.31454210325069e-12,1,23,252,"ribosome biogenesis","BP"
"GO:0009056",9.59160591843276e-06,0.999997709397745,16,739,"catabolic process","BP"
"GO:0005975",0.00376922057798342,0.998838129459914,10,564,"carbohydrate metabolic process","BP"
"GO:0006629",0.00510247188899629,0.99825074880556,11,697,"lipid metabolic process","BP"
"GO:0071554",0.00539433427957859,0.999569277718863,3,32,"cell wall organization or biogenesis","BP"
"GO:0008150",0.006305186168625,0.997655186047321,12,894,"biological_process","BP"
"GO:0006091",0.00753419882634199,0.998288840707062,6,216,"generation of precursor metabolites and energy","BP"
"GO:0007155",0.0178910805117971,0.995072921819947,6,520,"cell adhesion","BP"
"GO:0006810",0.0484430035221314,0.983265173858711,6,448,"transport","BP"
"GO:0005840",2.22624596231174e-12,1,24,255,"ribosome","CC"
"GO:0005576",1.77448873923827e-07,0.999999965384975,18,405,"extracellular region","CC"
"GO:0005618",1.86708314433689e-05,0.999999920994462,3,4,"cell wall","CC"
"GO:0031012",0.00131332631110603,0.99993453762434,3,56,"extracellular matrix","CC"
"GO:0003735",7.10290305492108e-14,1,23,176,"structural constituent of ribosome","MF"
"GO:0030234",7.3379887332214e-05,0.999978300002146,17,669,"enzyme regulator activity","MF"
"GO:0005198",0.000468360147783032,0.999953116681705,5,179,"structural molecule activity","MF"
"GO:0016798",0.00107315092048223,0.999834769834723,6,252,"hydrolase activity, acting on glycosyl bonds","MF"
"GO:0008233",0.00126603093138844,0.999551500132733,15,1210,"peptidase activity","MF"
"GO:0043167",0.0171665550988154,0.987817136524747,69,9871,"ion binding","MF"
