"","Cgigas_KEGG_IDs","Cgigas_PathwayID","Pathway_Description","Pathway_gene_list","Pathway_gene_count","gene_IDs","Gene_name"
"1","crg:105317754","crg04145","Phagosome","105321566/105345949/105345691/105338718/105337411/105328999/105319124/105343071/105317754",9,"105317754","protein transport protein Sec61 subunit alpha"
"2","crg:105319124","crg04145","Phagosome","105321566/105345949/105345691/105338718/105337411/105328999/105319124/105343071/105317754",9,"105319124","V-type proton ATPase subunit C 1"
"3","crg:105319124","crg00190","Oxidative phosphorylation","105321566/105324755/105345691/105328999/105319124",5,"105319124","V-type proton ATPase subunit C 1"
"4","crg:105320326","crg00480","Glutathione metabolism","105345880/105330227/105343429/105330981/105320326/105320554/105331625",7,"105320326","glutathione peroxidase"
"5","crg:105320554","crg00480","Glutathione metabolism","105345880/105330227/105343429/105330981/105320326/105320554/105331625",7,"105320554","S-crystallin SL11 isoform X1"
"6","crg:105320698","crg04142","Lysosome","105340688/105340686/105345948/105321566/105339566/105345949/105320698/105333177/105340689/105338718/105335927/105337411/105346019/105347059/105337691/105331028",16,"105320698","ganglioside GM2 activator isoform X1"
"7","crg:105321566","crg04142","Lysosome","105340688/105340686/105345948/105321566/105339566/105345949/105320698/105333177/105340689/105338718/105335927/105337411/105346019/105347059/105337691/105331028",16,"105321566","V-type proton ATPase 16 kDa proteolipid subunit"
"8","crg:105321566","crg00190","Oxidative phosphorylation","105321566/105324755/105345691/105328999/105319124",5,"105321566","V-type proton ATPase 16 kDa proteolipid subunit"
"9","crg:105321566","crg04145","Phagosome","105321566/105345949/105345691/105338718/105337411/105328999/105319124/105343071/105317754",9,"105321566","V-type proton ATPase 16 kDa proteolipid subunit"
"10","crg:105324755","crg00190","Oxidative phosphorylation","105321566/105324755/105345691/105328999/105319124",5,"105324755","ATP synthase F(0) complex subunit B1, mitochondrial"
"11","crg:105328999","crg00190","Oxidative phosphorylation","105321566/105324755/105345691/105328999/105319124",5,"105328999","V-type proton ATPase subunit B"
"12","crg:105328999","crg04145","Phagosome","105321566/105345949/105345691/105338718/105337411/105328999/105319124/105343071/105317754",9,"105328999","V-type proton ATPase subunit B"
"13","crg:105330227","crg00480","Glutathione metabolism","105345880/105330227/105343429/105330981/105320326/105320554/105331625",7,"105330227","isocitrate dehydrogenase [NADP] cytoplasmic"
"14","crg:105330981","crg00480","Glutathione metabolism","105345880/105330227/105343429/105330981/105320326/105320554/105331625",7,"105330981","microsomal glutathione S-transferase 2"
"15","crg:105331028","crg04142","Lysosome","105340688/105340686/105345948/105321566/105339566/105345949/105320698/105333177/105340689/105338718/105335927/105337411/105346019/105347059/105337691/105331028",16,"105331028","AP-1 complex subunit beta-1"
"16","crg:105331625","crg00480","Glutathione metabolism","105345880/105330227/105343429/105330981/105320326/105320554/105331625",7,"105331625","probable glutathione S-transferase 8"
"17","crg:105333177","crg04142","Lysosome","105340688/105340686/105345948/105321566/105339566/105345949/105320698/105333177/105340689/105338718/105335927/105337411/105346019/105347059/105337691/105331028",16,"105333177","uncharacterized protein LOC105333177"
"18","crg:105335927","crg04142","Lysosome","105340688/105340686/105345948/105321566/105339566/105345949/105320698/105333177/105340689/105338718/105335927/105337411/105346019/105347059/105337691/105331028",16,"105335927","cathepsin O"
"19","crg:105337411","crg04142","Lysosome","105340688/105340686/105345948/105321566/105339566/105345949/105320698/105333177/105340689/105338718/105335927/105337411/105346019/105347059/105337691/105331028",16,"105337411","uncharacterized protein LOC105337411"
"20","crg:105337411","crg04145","Phagosome","105321566/105345949/105345691/105338718/105337411/105328999/105319124/105343071/105317754",9,"105337411","uncharacterized protein LOC105337411"
"21","crg:105337691","crg04142","Lysosome","105340688/105340686/105345948/105321566/105339566/105345949/105320698/105333177/105340689/105338718/105335927/105337411/105346019/105347059/105337691/105331028",16,"105337691","lysosomal aspartic protease isoform X1"
"22","crg:105338718","crg04142","Lysosome","105340688/105340686/105345948/105321566/105339566/105345949/105320698/105333177/105340689/105338718/105335927/105337411/105346019/105347059/105337691/105331028",16,"105338718","cell wall protein DAN4"
"23","crg:105338718","crg04145","Phagosome","105321566/105345949/105345691/105338718/105337411/105328999/105319124/105343071/105317754",9,"105338718","cell wall protein DAN4"
"24","crg:105339566","crg04142","Lysosome","105340688/105340686/105345948/105321566/105339566/105345949/105320698/105333177/105340689/105338718/105335927/105337411/105346019/105347059/105337691/105331028",16,"105339566","dipeptidyl peptidase 1"
"25","crg:105340686","crg04142","Lysosome","105340688/105340686/105345948/105321566/105339566/105345949/105320698/105333177/105340689/105338718/105335927/105337411/105346019/105347059/105337691/105331028",16,"105340686","NPC intracellular cholesterol transporter 2"
"26","crg:105340688","crg04142","Lysosome","105340688/105340686/105345948/105321566/105339566/105345949/105320698/105333177/105340689/105338718/105335927/105337411/105346019/105347059/105337691/105331028",16,"105340688","NPC intracellular cholesterol transporter 2"
"27","crg:105340689","crg04142","Lysosome","105340688/105340686/105345948/105321566/105339566/105345949/105320698/105333177/105340689/105338718/105335927/105337411/105346019/105347059/105337691/105331028",16,"105340689","NPC intracellular cholesterol transporter 2"
"28","crg:105343071","crg04145","Phagosome","105321566/105345949/105345691/105338718/105337411/105328999/105319124/105343071/105317754",9,"105343071","tubulin beta chain"
"29","crg:105343429","crg00480","Glutathione metabolism","105345880/105330227/105343429/105330981/105320326/105320554/105331625",7,"105343429","peroxiredoxin-6"
"30","crg:105345691","crg04145","Phagosome","105321566/105345949/105345691/105338718/105337411/105328999/105319124/105343071/105317754",9,"105345691","V-type proton ATPase subunit G"
