"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","moduleColor","Day"
"1","GO:0007034",1.74157250153093e-08,0.999999999678697,6,24,"vacuolar transport","BP","red","Day18"
"2","GO:0006810",0.000147872833447182,0.999976861226432,8,448,"transport","BP","red","Day18"
"3","GO:0051604",0.00415670858159471,0.999688592200042,3,66,"protein maturation","BP","red","Day18"
"4","GO:0034641",0.00504260045885294,0.997663928592282,20,2677,"cellular nitrogen compound metabolic process","BP","red","Day18"
"5","GO:0006412",0.00842929616144521,0.998044384231555,6,276,"translation","BP","red","Day18"
"6","GO:0042254",0.0107205160943213,0.9973853303448,6,252,"ribosome biogenesis","BP","red","Day18"
"7","GO:0000278",0.0134779704574201,0.999248493451336,2,79,"mitotic cell cycle","BP","red","Day18"
"8","GO:0016192",0.0206025447426454,0.994171845566036,6,584,"vesicle-mediated transport","BP","red","Day18"
"9","GO:0007005",0.023070637083255,0.99671283353443,3,153,"mitochondrion organization","BP","red","Day18"
"10","GO:0006605",0.0342797932115304,0.996904260472877,2,47,"protein targeting","BP","red","Day18"
"11","GO:0009058",0.044967927599381,0.974409551537668,19,3022,"biosynthetic process","BP","red","Day18"
"12","GO:0007010",0.0452184732444768,0.988774054980962,4,505,"cytoskeleton organization","BP","red","Day18"
"13","GO:0005840",0.00325462491575577,0.999276901418415,7,255,"ribosome","CC","red","Day18"
"14","GO:0032991",0.0156256265213514,0.991793659563192,21,3519,"protein-containing complex","CC","red","Day18"
"15","GO:0005634",0.0201982701128364,0.991645399311426,11,1230,"nucleus","CC","red","Day18"
"16","GO:0005764",0.0246262071398381,0.999725675720923,1,10,"lysosome","CC","red","Day18"
"17","GO:0031410",0.0418096554516542,0.995712484859696,2,132,"cytoplasmic vesicle","CC","red","Day18"
"18","GO:0005737",0.0430181942189046,0.985589522148568,6,691,"cytoplasm","CC","red","Day18"
"19","GO:0003924",0.00401156910799425,0.998955703617945,8,437,"GTPase activity","MF","red","Day18"
"20","GO:0016491",0.00453749270708969,0.998315273619701,13,1338,"oxidoreductase activity","MF","red","Day18"
"21","GO:0005198",0.00834165326880888,0.999182422006176,3,179,"structural molecule activity","MF","red","Day18"
"22","GO:0003735",0.0162038600973863,0.996330307949929,5,176,"structural constituent of ribosome","MF","red","Day18"
"23","GO:0003700",0.0194183049647999,0.993915190147425,7,712,"DNA-binding transcription factor activity","MF","red","Day18"
"24","GO:0008135",0.0475238319586163,0.99482994473921,2,66,"translation factor activity, RNA binding","MF","red","Day18"
